 X (m/s2), Theta (deg)
5.12,90.830841
5.093664,90.630119
5.121197,90.384079
5.137957,90.223129
5.158308,90.250465
5.18225,90.438377
5.199009,90.348511
5.2026,90.006973
5.206192,89.867836
5.214571,89.951317
5.220557,90.076408
5.227739,90.201637
5.232528,90.194618
5.220557,90.229378
5.203797,90.403709
5.176264,90.425789
5.163096,90.342522
5.204995,90.201698
5.209783,90.360977
5.206192,90.298683
5.194221,90.305977
5.170279,90.390289
5.166687,90.397575
5.155913,90.341377
5.178658,90.333351
5.181053,90.264442
5.16549,90.034836
5.177461,89.860588
5.177461,89.84687
5.169082,89.846786
5.158308,90.202347
5.16549,90.293091
5.155913,90.272438
5.160702,90.118675
5.176264,90.118515
5.189432,89.839897
5.213374,89.923592
5.227739,89.972313
5.270835,90.151878
5.298368,90.159164
5.334281,89.728485
5.334281,89.240791
5.366603,88.917854
5.372589,89.059166
5.38456,89.551193
5.407305,89.986221
5.42167,89.986237
5.453991,89.636421
5.457583,89.086037
5.44202,88.960327
5.391742,89.045563
5.352238,89.256744
5.420473,89.25721
5.559336,88.428658
5.785588,87.305862
6.01184,86.144569
6.118382,85.145248
6.101623,84.800262
6.092046,84.816765
6.06571,84.30687
6.203377,83.830093
6.357802,82.713699
6.503849,82.250397
6.625953,82.137291
6.6068,82.784737
6.236896,82.349503
5.956774,83.742249
5.552154,86.864563
5.492299,90.293808
5.46716,91.727104
5.497087,89.671021
5.677849,87.758369
5.874174,85.218826
6.125565,83.913696
6.353014,83.123276
6.338649,81.053825
6.374562,80.394279
6.374562,79.039803
6.432023,80.2397
6.914454,81.618805
7.201759,81.187164
7.52737,81.873367
7.789535,82.58152
8.159439,84.866882
8.637083,87.086395
8.948329,91.222939
9.500193,95.881134
10.424355,99.455582
11.773487,101.891464
13.348871,108.620979
15.278598,117.64035
18.478449,123.317238
21.137209,119.879715
22.282835,113.048309
23.517046,113.036736
25.583242,116.449852
27.836185,115.502686
28.771122,102.876129
26.610355,99.807411
24.173058,112.298515
22.566547,106.267647
23.270443,101.884087
25.700558,104.399261
27.594372,116.097816
27.484238,124.71331
22.986731,127.704552
19.987993,122.117386
14.633361,106.394577
2.712631,76.074394
-22.118832,82.774818
-22.118832,82.774818
-26.621128,70.490829
-21.444864,88.162384
-25.871744,129.078598
-25.871744,128.330505
-32.892738,109.414978
-17.749414,110.047386
-2.868254,151.254227
6.375759,146.178894
12.061988,123.567307
17.62731,114.401405
23.690626,98.209106
27.13229,76.556244
28.118702,65.610291
26.929981,62.419128
23.323116,60.966812
18.958487,60.615047
14.930242,61.122986
11.792641,62.911232
9.7863,67.618958
8.635885,74.529358
7.928399,82.581299
7.356185,89.337845
6.977901,92.069145
6.940791,91.911942
7.149086,90.017357
7.156269,87.016998
7.052121,87.93853
6.936002,92.394028
7.156269,99.971718
7.82066,104.943321
9.016563,105.338837
10.386047,101.942245
11.542446,95.878365
11.771092,89.860466
11.180922,86.763206
10.296265,87.72155
9.647436,93.471275
9.255983,98.753021
9.471462,99.890625
10.257957,96.884796
11.055226,92.438972
11.247959,89.790123
10.83496,91.042404
9.956287,92.723495
9.044097,96.079964
8.394072,96.295555
8.41921,94.237038
9.161413,91.171555
10.03769,88.894058
10.563218,88.848564
9.888053,94.650841
9.888053,94.627205
8.251616,99.354752
8.090008,97.926003
8.426393,95.254143
8.939949,93.600502
9.090784,93.019203
8.784326,94.621063
8.100781,95.157394
7.381324,95.835335
7.013814,95.585693
7.241263,94.624512
7.8039,93.591881
8.250419,93.233261
8.203732,93.612534
7.653066,94.999123
6.88333,96.865486
6.149507,98.308914
5.732916,98.498276
5.857414,97.02726
6.446388,94.627739
7.173028,92.182274
7.657854,90.087257
7.77517,88.006271
7.496245,87.883018
7.169437,89.258797
7.030573,91.183617
6.914454,92.069679
6.625953,91.602287
6.319495,91.478043
5.949591,94.673752
5.741296,95.644653
5.48751,96.292511
5.29358,96.687714
5.262455,96.892479
5.266047,95.793442
5.327099,95.314896
5.355829,94.853058
5.3678,94.567184
5.349844,94.121124
5.337873,93.411827
5.251681,92.900162
5.068525,92.402802
4.906917,92.496254
4.817134,92.371216
4.922479,93.119446
5.12838,93.621956
5.351041,93.941833
5.49589,94.069977
5.515044,93.954414
5.456386,92.852364
5.489904,92.641747
5.583278,92.841721
5.657499,93.117638
5.60722,93.114899
5.48751,92.816566
5.365406,92.465393
5.370194,91.947334
5.476737,91.565735
5.637148,91.622353
5.787982,91.783875
5.8634,91.796501
5.837064,91.550186
6.017826,88.589287
6.830657,81.972038
5.940014,98.5205
4.627992,100.085884
4.284424,94.988281
4.72376,92.635109
5.212177,93.811203
5.469554,94.852997
